Date,Time,Open,High,Low,Close,Volume
2012.08.29,0:00,1.5817,1.5826,1.5812,1.5814,3417
2012.08.29,4:00,1.5815,1.5819,1.5811,1.5813,3612
2012.08.29,8:00,1.5812,1.5826,1.5801,1.5818,10035
2012.08.29,12:00,1.5817,1.5855,1.5806,1.5815,10628
2012.08.29,16:00,1.5817,1.5847,1.581,1.584,8134
2012.08.29,20:00,1.5839,1.5841,1.5825,1.5827,3171
2012.08.30,0:00,1.5829,1.5835,1.5819,1.5826,4241
2012.08.30,4:00,1.5828,1.5828,1.5825,1.5828,41
2012.09.10,16:00,1.6011,1.6018,1.5999,1.6001,3271
2012.09.10,20:00,1.6,1.6007,1.598,1.5987,5004
2012.09.11,0:00,1.5988,1.6,1.5986,1.5998,4240
2012.09.11,4:00,1.5997,1.6018,1.5997,1.6006,4455
2012.09.11,8:00,1.6007,1.6032,1.5998,1.6012,9951
2012.09.11,12:00,1.6013,1.6048,1.6011,1.6044,11083
2012.09.11,16:00,1.6045,1.6084,1.6042,1.6068,11008
2012.09.11,20:00,1.6067,1.6078,1.6064,1.6067,5216
2012.09.12,0:00,1.6068,1.6072,1.6062,1.6067,4255
2012.09.12,4:00,1.6068,1.6086,1.6066,1.6068,5056
2012.09.12,8:00,1.6069,1.613,1.6066,1.6112,19348
2012.09.12,12:00,1.6113,1.6118,1.6079,1.6088,12403
2012.09.12,16:00,1.6089,1.6116,1.608,1.6105,6550
2012.09.12,20:00,1.6106,1.6113,1.6097,1.6107,3613
2012.09.13,0:00,1.6109,1.6124,1.6102,1.6123,3566
2012.09.13,4:00,1.6122,1.6125,1.6103,1.6112,3421
2012.09.13,8:00,1.6111,1.6125,1.6101,1.6117,6292
2012.09.13,12:00,1.6118,1.612,1.6084,1.61,6046
2012.09.13,16:00,1.6098,1.6158,1.6071,1.6133,12052
2012.09.13,20:00,1.6132,1.6174,1.613,1.615,7746
2012.09.14,0:00,1.6152,1.6173,1.614,1.6164,5804
2012.09.14,4:00,1.6165,1.6205,1.6164,1.6196,8007
2012.09.14,8:00,1.6195,1.6224,1.6184,1.6215,9938
2012.09.14,12:00,1.6216,1.625,1.6195,1.6222,9970
2012.09.14,16:00,1.6224,1.6255,1.6211,1.6221,9235
2012.09.14,20:00,1.6222,1.6233,1.621,1.6214,3935
2012.09.17,0:00,1.6227,1.6229,1.6211,1.6225,2107
2012.09.17,4:00,1.6226,1.6229,1.6217,1.6222,1340
2012.09.17,8:00,1.6221,1.623,1.6209,1.6222,2228
2012.09.17,12:00,1.6221,1.6261,1.6211,1.6252,2799
2012.09.17,16:00,1.6253,1.6273,1.6235,1.6251,6517
2012.09.17,20:00,1.6252,1.6262,1.6231,1.6247,4923
2012.09.18,0:00,1.6249,1.6251,1.623,1.6247,4556
2012.09.18,4:00,1.6249,1.6258,1.6237,1.6238,3748
2012.09.18,8:00,1.624,1.6253,1.6219,1.6234,8022
